Post ID,Schedule Priority,Days Applied,From Time,To Time,Rate Type,Rate
112-04040,1,,,,Base Rate,2
112-04060,1,,,,Base Rate,2
112-04100,1,,,,Base Rate,2
114-27140,1,,,,Base Rate,2
114-27150,1,,,,Base Rate,2
114-27160,1,,,,Base Rate,2
114-27170,1,,,,Base Rate,2
114-27190,1,,,,Base Rate,2
114-28040,1,,,,Base Rate,2
114-28050,1,,,,Base Rate,2
114-28060,1,,,,Base Rate,2
114-28080,1,,,,Base Rate,2
114-28090,1,,,,Base Rate,2
114-28110,1,,,,Base Rate,2
114-28140,1,,,,Base Rate,2
114-28150,1,,,,Base Rate,2
115-03910,1,,,,Base Rate,2
115-03930,1,,,,Base Rate,2
115-03950,1,,,,Base Rate,2
115-03970,1,,,,Base Rate,2
115-04040,1,,,,Base Rate,2
115-04060,1,,,,Base Rate,2
115-04080,1,,,,Base Rate,2
115-13010,1,,,,Base Rate,2
115-13030,1,,,,Base Rate,2
115-13050,1,,,,Base Rate,2
115-13070,1,,,,Base Rate,2
115-28060,1,,,,Base Rate,2
115-28100,1,,,,Base Rate,2
116-03920,1,,,,Base Rate,2
116-03940,1,,,,Base Rate,2
116-03950,1,,,,Base Rate,2
116-03970,1,,,,Base Rate,2
116-03980,1,,,,Base Rate,2
116-04010,1,,,,Base Rate,2
116-04020,1,,,,Base Rate,2
116-04030,1,,,,Base Rate,2
116-04040,1,,,,Base Rate,2
116-04050,1,,,,Base Rate,2
116-04060,1,,,,Base Rate,2
116-04090,1,,,,Base Rate,2
117-03920,1,,,,Base Rate,2
117-03940,1,,,,Base Rate,2
117-03960,1,,,,Base Rate,2
117-03970,1,,,,Base Rate,2
117-03980,1,,,,Base Rate,2
117-03990,1,,,,Base Rate,2
117-04010,1,,,,Base Rate,2
117-04040,1,,,,Base Rate,2
117-04060,1,,,,Base Rate,2
117-04080,1,,,,Base Rate,2
117-04100,1,,,,Base Rate,2
118-03750,1,,,,Base Rate,2
118-03770,1,,,,Base Rate,2
118-03790,1,,,,Base Rate,2
118-03810,1,,,,Base Rate,2
118-03830,1,,,,Base Rate,2
118-03850,1,,,,Base Rate,2
118-03870,1,,,,Base Rate,2
118-03900,1,,,,Base Rate,2
118-03910,1,,,,Base Rate,2
118-03920,1,,,,Base Rate,2
118-03930,1,,,,Base Rate,2
118-03940,1,,,,Base Rate,2
118-03950,1,,,,Base Rate,2
118-03970,1,,,,Base Rate,2
118-04010,1,,,,Base Rate,2
118-04030,1,,,,Base Rate,2
118-04050,1,,,,Base Rate,2
118-04090,1,,,,Base Rate,2
118-04110,1,,,,Base Rate,2
118-23940,1,,,,Base Rate,2
118-23950,1,,,,Base Rate,2
118-23960,1,,,,Base Rate,2
118-23970,1,,,,Base Rate,2
118-23980,1,,,,Base Rate,2
118-23990,1,,,,Base Rate,2
118-24010,1,,,,Base Rate,2
118-24020,1,,,,Base Rate,2
118-24030,1,,,,Base Rate,2
118-24040,1,,,,Base Rate,2
118-24050,1,,,,Base Rate,2
118-24060,1,,,,Base Rate,2
119-03910,1,,,,Base Rate,2
119-03930,1,,,,Base Rate,2
119-03940,1,,,,Base Rate,2
119-03950,1,,,,Base Rate,2
119-03960,1,,,,Base Rate,2
119-03970,1,,,,Base Rate,2
119-03980,1,,,,Base Rate,2
119-04010,1,,,,Base Rate,2
119-04030,1,,,,Base Rate,2
119-04040,1,,,,Base Rate,2
119-04050,1,,,,Base Rate,2
119-04060,1,,,,Base Rate,2
119-04070,1,,,,Base Rate,2
119-04080,1,,,,Base Rate,2
119-04100,1,,,,Base Rate,2
119-04120,1,,,,Base Rate,2
120-03890,1,,,,Base Rate,2
120-03910,1,,,,Base Rate,2
120-03930,1,,,,Base Rate,2
120-03940,1,,,,Base Rate,2
120-03950,1,,,,Base Rate,2
120-03960,1,,,,Base Rate,2
120-03970,1,,,,Base Rate,2
120-04010,1,,,,Base Rate,2
120-04020,1,,,,Base Rate,2
120-04030,1,,,,Base Rate,2
120-04040,1,,,,Base Rate,2
120-04050,1,,,,Base Rate,2
120-12850,1,,,,Base Rate,2
120-12860,1,,,,Base Rate,2
120-12880,1,,,,Base Rate,2
120-12890,1,,,,Base Rate,2
120-12910,1,,,,Base Rate,2
120-12920,1,,,,Base Rate,2
120-12930,1,,,,Base Rate,2
120-12950,1,,,,Base Rate,2
120-12960,1,,,,Base Rate,2
120-12970,1,,,,Base Rate,2
120-12980,1,,,,Base Rate,2
120-12990,1,,,,Base Rate,2
120-13010,1,,,,Base Rate,2
120-13020,1,,,,Base Rate,2
120-13030,1,,,,Base Rate,2
120-13040,1,,,,Base Rate,2
120-13050,1,,,,Base Rate,2
120-13060,1,,,,Base Rate,2
120-13070,1,,,,Base Rate,2
120-13080,1,,,,Base Rate,2
120-13090,1,,,,Base Rate,2
120-13100,1,,,,Base Rate,2
120-13120,1,,,,Base Rate,2
120-13130,1,,,,Base Rate,2
120-13150,1,,,,Base Rate,2
120-17500,1,,,,Base Rate,2
120-17510,1,,,,Base Rate,2
120-17520,1,,,,Base Rate,2
120-17530,1,,,,Base Rate,2
120-17550,1,,,,Base Rate,2
120-18030,1,,,,Base Rate,2
120-18050,1,,,,Base Rate,2
120-18080,1,,,,Base Rate,2
120-23610,1,,,,Base Rate,2
120-23620,1,,,,Base Rate,2
120-23630,1,,,,Base Rate,2
120-23640,1,,,,Base Rate,2
120-23660,1,,,,Base Rate,2
120-23670,1,,,,Base Rate,2
120-23680,1,,,,Base Rate,2
120-23690,1,,,,Base Rate,2
120-24020,1,,,,Base Rate,2
120-24030,1,,,,Base Rate,2
120-24040,1,,,,Base Rate,2
120-24050,1,,,,Base Rate,2
120-24060,1,,,,Base Rate,2
120-24070,1,,,,Base Rate,2
120-24090,1,,,,Base Rate,2
120-24100,1,,,,Base Rate,2
120-24110,1,,,,Base Rate,2
120-24130,1,,,,Base Rate,2
120-24150,1,,,,Base Rate,2
121-03920,1,,,,Base Rate,2
121-03930,1,,,,Base Rate,2
121-03940,1,,,,Base Rate,2
121-03950,1,,,,Base Rate,2
121-03960,1,,,,Base Rate,2
121-03970,1,,,,Base Rate,2
121-03980,1,,,,Base Rate,2
121-04010,1,,,,Base Rate,2
121-04020,1,,,,Base Rate,2
121-04030,1,,,,Base Rate,2
121-04040,1,,,,Base Rate,2
121-04050,1,,,,Base Rate,2
121-04060,1,,,,Base Rate,2
121-04070,1,,,,Base Rate,2
121-04080,1,,,,Base Rate,2
121-04090,1,,,,Base Rate,2
121-04100,1,,,,Base Rate,2
121-12910,1,,,,Base Rate,2
121-12930,1,,,,Base Rate,2
121-12940,1,,,,Base Rate,2
121-12950,1,,,,Base Rate,2
121-12960,1,,,,Base Rate,2
121-12970,1,,,,Base Rate,2
121-12980,1,,,,Base Rate,2
121-12990,1,,,,Base Rate,2
121-13010,1,,,,Base Rate,2
121-13020,1,,,,Base Rate,2
121-13040,1,,,,Base Rate,2
121-13050,1,,,,Base Rate,2
121-13060,1,,,,Base Rate,2
121-13080,1,,,,Base Rate,2
121-13100,1,,,,Base Rate,2
121-13120,1,,,,Base Rate,2
121-13140,1,,,,Base Rate,2
121-17510,1,,,,Base Rate,2
121-17520,1,,,,Base Rate,2
121-17530,1,,,,Base Rate,2
121-17540,1,,,,Base Rate,2
121-17550,1,,,,Base Rate,2
121-18010,1,,,,Base Rate,2
121-18020,1,,,,Base Rate,2
121-18030,1,,,,Base Rate,2
121-18040,1,,,,Base Rate,2
121-18050,1,,,,Base Rate,2
121-18060,1,,,,Base Rate,2
121-23630,1,,,,Base Rate,2
121-23650,1,,,,Base Rate,2
121-23660,1,,,,Base Rate,2
121-23680,1,,,,Base Rate,2
121-23690,1,,,,Base Rate,2
121-23700,1,,,,Base Rate,2
121-24010,1,,,,Base Rate,2
121-24020,1,,,,Base Rate,2
121-24040,1,,,,Base Rate,2
121-24060,1,,,,Base Rate,2
122-03930,1,,,,Base Rate,2
122-03940,1,,,,Base Rate,2
122-03950,1,,,,Base Rate,2
122-03960,1,,,,Base Rate,2
122-03970,1,,,,Base Rate,2
122-03980,1,,,,Base Rate,2
122-04010,1,,,,Base Rate,2
122-04030,1,,,,Base Rate,2
122-04040,1,,,,Base Rate,2
122-04050,1,,,,Base Rate,2
122-12900,1,,,,Base Rate,2
122-13020,1,,,,Base Rate,2
122-13030,1,,,,Base Rate,2
122-13040,1,,,,Base Rate,2
122-13050,1,,,,Base Rate,2
122-13060,1,,,,Base Rate,2
122-13070,1,,,,Base Rate,2
122-13080,1,,,,Base Rate,2
122-13090,1,,,,Base Rate,2
122-13100,1,,,,Base Rate,2
122-18040,1,,,,Base Rate,2
122-18060,1,,,,Base Rate,2
122-23610,1,,,,Base Rate,2
122-23630,1,,,,Base Rate,2
122-23640,1,,,,Base Rate,2
122-23650,1,,,,Base Rate,2
122-23660,1,,,,Base Rate,2
122-23680,1,,,,Base Rate,2
122-23690,1,,,,Base Rate,2
122-24010,1,,,,Base Rate,2
122-24020,1,,,,Base Rate,2
122-24030,1,,,,Base Rate,2
122-24040,1,,,,Base Rate,2
122-24050,1,,,,Base Rate,2
122-24070,1,,,,Base Rate,2
122-24090,1,,,,Base Rate,2
